门店名称,顾客ID,顾客年龄,顾客性别,数据生成时间,摄像头ID,摄像头名称,捕捉区域名称
唯品会新余门店,15762,27,男,2018-12-23 22:15:39,137898596299,摄像机5,侧门
唯品会新余门店,15762,27,男,2018-12-23 22:10:22,137898596299,摄像机5,侧门
唯品会新余门店,15762,27,男,2018-12-23 22:10:21,137898596299,摄像机5,侧门
唯品会新余门店,176043,27,女,2018-12-23 22:10:18,137898595979,摄像机2,正门
唯品会新余门店,135895,31,女,2018-12-23 22:10:15,137898595979,摄像机2,正门
唯品会新余门店,15828,22,女,2018-12-23 22:07:55,137898595979,摄像机2,正门
唯品会新余门店,15828,22,女,2018-12-23 22:07:39,137898595979,摄像机2,正门
唯品会新余门店,14607,27,男,2018-12-23 22:04:03,137898595979,摄像机2,正门
唯品会新余门店,14607,27,男,2018-12-23 21:58:04,137898595979,摄像机2,正门
唯品会新余门店,14607,27,男,2018-12-23 21:58:03,137898595979,摄像机2,正门
唯品会新余门店,65286,24,女,2018-12-23 21:55:20,137898595979,摄像机2,正门
唯品会新余门店,14800,35,女,2018-12-23 21:55:18,137898595979,摄像机2,正门
唯品会新余门店,14800,35,女,2018-12-23 21:55:17,137898595979,摄像机2,正门
唯品会新余门店,14432,32,男,2018-12-23 21:55:13,137898595979,摄像机2,正门
唯品会新余门店,187432,31,男,2018-12-23 21:52:16,137898596299,摄像机5,侧门
唯品会新余门店,187432,31,男,2018-12-23 21:52:15,137898596299,摄像机5,侧门
唯品会新余门店,187433,30,男,2018-12-23 21:50:09,137898595979,摄像机2,正门
唯品会新余门店,187433,30,男,2018-12-23 21:50:03,137898595979,摄像机2,正门
唯品会新余门店,187432,31,男,2018-12-23 21:49:59,137898595979,摄像机2,正门
唯品会新余门店,187432,31,男,2018-12-23 21:49:58,137898596299,摄像机5,侧门
唯品会新余门店,15753,29,女,2018-12-23 21:49:56,137898596299,摄像机5,侧门
唯品会新余门店,15368,37,男,2018-12-23 21:41:49,137898596427,摄像机3,正门
唯品会新余门店,15368,37,男,2018-12-23 21:41:06,137898596427,摄像机3,正门
唯品会新余门店,187425,29,男,2018-12-23 21:41:05,137898596427,摄像机3,正门
唯品会新余门店,187425,29,男,2018-12-23 21:41:04,137898596427,摄像机3,正门
唯品会新余门店,15368,37,男,2018-12-23 21:41:04,137898596427,摄像机3,正门
唯品会新余门店,23341,32,男,2018-12-23 21:39:38,137898596555,摄像机4,正门
唯品会新余门店,187386,28,男,2018-12-23 21:39:35,137898595979,摄像机2,正门
唯品会新余门店,23341,32,男,2018-12-23 21:39:28,137898595979,摄像机2,正门
唯品会新余门店,23341,32,男,2018-12-23 21:39:19,137898595979,摄像机2,正门
唯品会新余门店,23341,32,男,2018-12-23 21:39:16,137898595979,摄像机2,正门
唯品会新余门店,23341,32,男,2018-12-23 21:39:09,137898595979,摄像机2,正门
唯品会新余门店,15828,22,女,2018-12-23 21:37:36,137898596427,摄像机3,正门
唯品会新余门店,187410,27,男,2018-12-23 21:36:06,137898596379,摄像机1,正门
唯品会新余门店,187409,31,女,2018-12-23 21:35:33,137898596379,摄像机1,正门
唯品会新余门店,187409,31,女,2018-12-23 21:35:32,137898596379,摄像机1,正门
唯品会新余门店,187409,31,女,2018-12-23 21:35:32,137898596427,摄像机3,正门
唯品会新余门店,187409,31,女,2018-12-23 21:34:48,137898596379,摄像机1,正门
唯品会新余门店,187409,31,女,2018-12-23 21:34:47,137898596379,摄像机1,正门
唯品会新余门店,187386,28,男,2018-12-23 21:34:15,137898596379,摄像机1,正门
唯品会新余门店,187386,28,男,2018-12-23 21:33:41,137898596379,摄像机1,正门
唯品会新余门店,187409,31,女,2018-12-23 21:33:27,137898596379,摄像机1,正门
