门店名称,顾客ID,顾客年龄,顾客性别,数据生成时间,摄像头ID,摄像头名称,捕捉区域名称
唯品会绵阳门店,77474,27,男,2018/12/23 21:55,1.37899E+11,摄像机2,大门
唯品会绵阳门店,137030,16,女,2018/12/23 21:55,1.37899E+11,摄像机2,大门
唯品会绵阳门店,137030,16,女,2018/12/23 21:55,1.37899E+11,摄像机2,大门
唯品会绵阳门店,98558,26,女,2018/12/23 21:55,1.37899E+11,摄像机2,大门
唯品会绵阳门店,140351,22,女,2018/12/23 21:55,1.37899E+11,摄像机2,大门
唯品会绵阳门店,137030,16,女,2018/12/23 21:55,1.37899E+11,摄像机2,大门
唯品会绵阳门店,77474,27,男,2018/12/23 21:55,1.37899E+11,摄像机2,大门
唯品会绵阳门店,77474,27,男,2018/12/23 21:55,1.37899E+11,摄像机2,大门
唯品会绵阳门店,187427,23,男,2018/12/23 21:43,1.37899E+11,摄像机1,大门
唯品会绵阳门店,50008,25,男,2018/12/23 21:33,1.37899E+11,摄像机1,大门
唯品会绵阳门店,50008,25,男,2018/12/23 21:33,1.37899E+11,摄像机1,大门
唯品会绵阳门店,50008,25,男,2018/12/23 21:33,1.37899E+11,摄像机1,大门
唯品会绵阳门店,15997,25,男,2018/12/23 21:32,1.37899E+11,摄像机3,大门
唯品会绵阳门店,15997,25,男,2018/12/23 21:32,1.37899E+11,摄像机3,大门
唯品会绵阳门店,50008,25,男,2018/12/23 21:32,1.37899E+11,摄像机1,大门
唯品会绵阳门店,50008,25,男,2018/12/23 21:32,1.37899E+11,摄像机1,大门
唯品会绵阳门店,16145,23,男,2018/12/23 21:32,1.37899E+11,摄像机1,大门
唯品会绵阳门店,50008,25,男,2018/12/23 21:32,1.37899E+11,摄像机1,大门
唯品会绵阳门店,50008,25,男,2018/12/23 21:32,1.37899E+11,摄像机1,大门
唯品会绵阳门店,16145,23,男,2018/12/23 21:32,1.37899E+11,摄像机1,大门
唯品会绵阳门店,50008,25,男,2018/12/23 21:31,1.37899E+11,摄像机1,大门
唯品会绵阳门店,15997,25,男,2018/12/23 21:31,1.37899E+11,摄像机1,大门
唯品会绵阳门店,15997,25,男,2018/12/23 21:31,1.37899E+11,摄像机1,大门
唯品会绵阳门店,16145,23,男,2018/12/23 21:31,1.37899E+11,摄像机1,大门
唯品会绵阳门店,16145,23,男,2018/12/23 21:30,1.37899E+11,摄像机1,大门
唯品会绵阳门店,15997,25,男,2018/12/23 21:28,1.37899E+11,摄像机1,大门
唯品会绵阳门店,15943,35,男,2018/12/23 21:24,1.37899E+11,摄像机1,大门
唯品会绵阳门店,50931,21,男,2018/12/23 21:24,1.37899E+11,摄像机1,大门
