门店名称,顾客ID,顾客年龄,顾客性别,数据生成时间,摄像头ID,摄像头名称,捕捉区域名称
唯品会绵阳门店,14639,25,女,2018-12-16 21:59:21,137898594795,摄像机2,大门
唯品会绵阳门店,86588,26,女,2018-12-16 21:59:19,137898594795,摄像机2,大门
唯品会绵阳门店,14130,25,女,2018-12-16 21:58:56,137898594795,摄像机2,大门
唯品会绵阳门店,14130,25,女,2018-12-16 21:58:56,137898594795,摄像机2,大门
唯品会绵阳门店,86588,26,女,2018-12-16 21:58:55,137898594795,摄像机2,大门
唯品会绵阳门店,15943,35,男,2018-12-16 21:57:23,137898594795,摄像机2,大门
唯品会绵阳门店,14639,25,女,2018-12-16 21:56:23,137898594795,摄像机2,大门
唯品会绵阳门店,14639,25,女,2018-12-16 21:56:22,137898594795,摄像机2,大门
唯品会绵阳门店,86588,26,女,2018-12-16 21:55:41,137898596027,摄像机1,大门
唯品会绵阳门店,86588,26,女,2018-12-16 21:55:36,137898596027,摄像机1,大门
唯品会绵阳门店,165796,36,女,2018-12-16 21:55:09,137898594795,摄像机2,大门
唯品会绵阳门店,165789,10,男,2018-12-16 21:48:47,137898596027,摄像机1,大门
唯品会绵阳门店,165792,25,女,2018-12-16 21:48:46,137898596027,摄像机1,大门
唯品会绵阳门店,165789,10,男,2018-12-16 21:46:08,137898596027,摄像机1,大门
唯品会绵阳门店,14171,34,男,2018-12-16 21:39:04,137898596155,摄像机3,大门
唯品会绵阳门店,165768,26,女,2018-12-16 21:35:17,137898596027,摄像机1,大门
唯品会绵阳门店,165769,18,女,2018-12-16 21:35:16,137898596027,摄像机1,大门
唯品会绵阳门店,165769,18,女,2018-12-16 21:35:15,137898596027,摄像机1,大门
唯品会绵阳门店,165768,26,女,2018-12-16 21:35:13,137898596027,摄像机1,大门
唯品会绵阳门店,36794,40,男,2018-12-16 21:35:12,137898596027,摄像机1,大门
唯品会绵阳门店,14393,37,女,2018-12-16 21:33:21,137898594795,摄像机2,大门
