门店名称,顾客ID,顾客年龄,顾客性别,数据生成时间,摄像头ID,摄像头名称,捕捉区域名称
唯品会长春门店,173363,35,女,2018/12/23 21:40,1.37899E+11,摄像机4,南门出门
唯品会长春门店,145353,28,女,2018/12/23 21:40,1.37899E+11,摄像机14,收银台
唯品会长春门店,133909,16,女,2018/12/23 21:40,1.37899E+11,摄像机14,收银台
唯品会长春门店,133909,16,女,2018/12/23 21:39,1.37899E+11,摄像机14,收银台
唯品会长春门店,156252,41,女,2018/12/23 21:39,1.37899E+11,摄像机13,收银台
唯品会长春门店,156252,41,女,2018/12/23 21:38,1.37899E+11,摄像机14,收银台
唯品会长春门店,174663,24,女,2018/12/23 21:37,1.37899E+11,摄像机10,自助收银台
唯品会长春门店,156252,41,女,2018/12/23 21:35,1.37899E+11,摄像机12,收银台
唯品会长春门店,135742,23,男,2018/12/23 21:34,1.37899E+11,摄像机13,收银台
唯品会长春门店,135742,23,男,2018/12/23 21:34,1.37899E+11,摄像机13,收银台
唯品会长春门店,133490,20,女,2018/12/23 21:33,1.37899E+11,摄像机12,收银台
唯品会长春门店,174663,24,女,2018/12/23 21:33,1.37899E+11,摄像机12,收银台
唯品会长春门店,177770,32,女,2018/12/23 21:33,1.37899E+11,摄像机3,南门出门
唯品会长春门店,177770,32,女,2018/12/23 21:32,1.37899E+11,摄像机3,南门出门
唯品会长春门店,133487,26,女,2018/12/23 21:32,1.37899E+11,摄像机3,南门出门
唯品会长春门店,156252,41,女,2018/12/23 21:32,1.37899E+11,摄像机12,收银台
唯品会长春门店,177770,32,女,2018/12/23 21:32,1.37899E+11,摄像机11,自助收银台
唯品会长春门店,177770,32,女,2018/12/23 21:32,1.37899E+11,摄像机13,收银台
唯品会长春门店,177770,32,女,2018/12/23 21:32,1.37899E+11,摄像机13,收银台
唯品会长春门店,177770,32,女,2018/12/23 21:32,1.37899E+11,摄像机13,收银台
唯品会长春门店,177770,32,女,2018/12/23 21:32,1.37899E+11,摄像机13,收银台
唯品会长春门店,177770,32,女,2018/12/23 21:31,1.37899E+11,摄像机13,收银台
唯品会长春门店,170609,20,女,2018/12/23 21:31,1.37899E+11,摄像机12,收银台
唯品会长春门店,166773,27,女,2018/12/23 21:30,1.37899E+11,摄像机12,收银台
唯品会长春门店,166773,27,女,2018/12/23 21:30,1.37899E+11,摄像机12,收银台
唯品会长春门店,177770,32,女,2018/12/23 21:30,1.37899E+11,摄像机12,收银台
唯品会长春门店,177770,32,女,2018/12/23 21:30,1.37899E+11,摄像机12,收银台
唯品会长春门店,135652,30,女,2018/12/23 21:29,1.37899E+11,摄像机3,南门出门
唯品会长春门店,135652,30,女,2018/12/23 21:29,1.37899E+11,摄像机3,南门出门
唯品会长春门店,135652,30,女,2018/12/23 21:29,1.37899E+11,摄像机7,西门进门
唯品会长春门店,135652,30,女,2018/12/23 21:29,1.37899E+11,摄像机9,西门出门
唯品会长春门店,135652,30,女,2018/12/23 21:29,1.37899E+11,摄像机9,西门出门
唯品会长春门店,187377,28,女,2018/12/23 21:21,1.37899E+11,摄像机16,女试衣间
唯品会长春门店,139665,24,女,2018/12/23 21:18,1.37899E+11,摄像机12,收银台
唯品会长春门店,173363,35,女,2018/12/23 21:18,1.37899E+11,摄像机12,收银台
唯品会长春门店,187367,40,男,2018/12/23 21:18,1.37899E+11,摄像机3,南门出门
唯品会长春门店,139665,24,女,2018/12/23 21:18,1.37899E+11,摄像机10,自助收银台
唯品会长春门店,156252,41,女,2018/12/23 21:17,1.37899E+11,摄像机12,收银台
唯品会长春门店,139665,24,女,2018/12/23 21:17,1.37899E+11,摄像机10,自助收银台
唯品会长春门店,187377,28,女,2018/12/23 21:17,1.37899E+11,摄像机11,自助收银台
唯品会长春门店,187377,28,女,2018/12/23 21:17,1.37899E+11,摄像机11,自助收银台
唯品会长春门店,139665,24,女,2018/12/23 21:17,1.37899E+11,摄像机10,自助收银台
唯品会长春门店,187377,28,女,2018/12/23 21:17,1.37899E+11,摄像机11,自助收银台
唯品会长春门店,145353,28,女,2018/12/23 21:17,1.37899E+11,摄像机10,自助收银台
唯品会长春门店,139665,24,女,2018/12/23 21:17,1.37899E+11,摄像机10,自助收银台
唯品会长春门店,145353,28,女,2018/12/23 21:17,1.37899E+11,摄像机11,自助收银台
唯品会长春门店,147458,39,男,2018/12/23 21:16,1.37899E+11,摄像机6,西门进门
唯品会长春门店,147458,39,男,2018/12/23 21:16,1.37899E+11,摄像机6,西门进门
唯品会长春门店,147458,39,男,2018/12/23 21:16,1.37899E+11,摄像机6,西门进门
唯品会长春门店,147458,39,男,2018/12/23 21:16,1.37899E+11,摄像机6,西门进门
唯品会长春门店,147458,39,男,2018/12/23 21:16,1.37899E+11,摄像机7,西门进门
唯品会长春门店,187260,30,女,2018/12/23 21:16,1.37899E+11,摄像机8,西门出门
唯品会长春门店,147458,39,男,2018/12/23 21:16,1.37899E+11,摄像机7,西门进门
唯品会长春门店,147458,39,男,2018/12/23 21:16,1.37899E+11,摄像机7,西门进门
唯品会长春门店,187260,30,女,2018/12/23 21:16,1.37899E+11,摄像机12,收银台
唯品会长春门店,187260,30,女,2018/12/23 21:16,1.37899E+11,摄像机12,收银台
唯品会长春门店,187260,30,女,2018/12/23 21:15,1.37899E+11,摄像机12,收银台
唯品会长春门店,187377,28,女,2018/12/23 21:15,1.37899E+11,摄像机10,自助收银台
唯品会长春门店,187260,30,女,2018/12/23 21:15,1.37899E+11,摄像机12,收银台
唯品会长春门店,187260,30,女,2018/12/23 21:15,1.37899E+11,摄像机12,收银台
唯品会长春门店,187260,30,女,2018/12/23 21:15,1.37899E+11,摄像机12,收银台
唯品会长春门店,187377,28,女,2018/12/23 21:15,1.37899E+11,摄像机10,自助收银台
唯品会长春门店,187377,28,女,2018/12/23 21:15,1.37899E+11,摄像机10,自助收银台
唯品会长春门店,187377,28,女,2018/12/23 21:15,1.37899E+11,摄像机10,自助收银台
