门店名称,顾客ID,顾客年龄,顾客性别,数据生成时间,摄像头ID,摄像头名称,捕捉区域名称
唯品会长沙门店,57107,27,女,2018-12-23 22:39:08,137898608331,摄像机5,收银台
唯品会长沙门店,171514,27,女,2018-12-23 22:35:20,137898605579,摄像机4,收银台
唯品会长沙门店,171514,27,女,2018-12-23 22:35:19,137898605579,摄像机4,收银台
唯品会长沙门店,171514,27,女,2018-12-23 22:35:19,137898605579,摄像机4,收银台
唯品会长沙门店,43236,45,男,2018-12-23 22:35:07,137898601067,摄像机6,进门
唯品会长沙门店,17069,32,男,2018-12-23 22:29:24,137898601067,摄像机6,进门
唯品会长沙门店,30488,30,男,2018-12-23 22:28:49,137898608331,摄像机5,收银台
唯品会长沙门店,17069,32,男,2018-12-23 22:28:48,137898605579,摄像机4,收银台
唯品会长沙门店,115027,32,男,2018-12-23 22:27:12,137898600875,摄像机7,进门
唯品会长沙门店,105185,24,女,2018-12-23 22:27:04,137898605579,摄像机4,收银台
唯品会长沙门店,43236,45,男,2018-12-23 22:26:58,137898600875,摄像机7,进门
唯品会长沙门店,174598,24,女,2018-12-23 22:26:39,137898600875,摄像机7,进门
唯品会长沙门店,174598,24,女,2018-12-23 22:26:38,137898600875,摄像机7,进门
唯品会长沙门店,171915,24,女,2018-12-23 22:26:34,137898600875,摄像机7,进门
唯品会长沙门店,171514,27,女,2018-12-23 22:26:33,137898600875,摄像机7,进门
唯品会长沙门店,43236,45,男,2018-12-23 22:26:32,137898600875,摄像机7,进门
唯品会长沙门店,43236,45,男,2018-12-23 22:26:25,137898600875,摄像机7,进门
唯品会长沙门店,115027,32,男,2018-12-23 22:26:23,137898600875,摄像机7,进门
唯品会长沙门店,115027,32,男,2018-12-23 22:26:23,137898600875,摄像机7,进门
唯品会长沙门店,115027,32,男,2018-12-23 22:26:22,137898600875,摄像机7,进门
唯品会长沙门店,43236,45,男,2018-12-23 22:26:22,137898600875,摄像机7,进门
唯品会长沙门店,115027,32,男,2018-12-23 22:26:20,137898600875,摄像机7,进门
唯品会长沙门店,115027,32,男,2018-12-23 22:26:20,137898600875,摄像机7,进门
唯品会长沙门店,43236,45,男,2018-12-23 22:26:08,137898605579,摄像机4,收银台
唯品会长沙门店,43236,45,男,2018-12-23 22:26:07,137898605579,摄像机4,收银台
唯品会长沙门店,43236,45,男,2018-12-23 22:26:06,137898605579,摄像机4,收银台
唯品会长沙门店,17069,32,男,2018-12-23 22:25:59,137898600875,摄像机7,进门
唯品会长沙门店,17069,32,男,2018-12-23 22:25:53,137898605579,摄像机4,收银台
唯品会长沙门店,17069,32,男,2018-12-23 22:24:49,137898605579,摄像机4,收银台
唯品会长沙门店,17069,32,男,2018-12-23 22:24:47,137898605579,摄像机4,收银台
唯品会长沙门店,17069,32,男,2018-12-23 22:24:46,137898605579,摄像机4,收银台
唯品会长沙门店,17069,32,男,2018-12-23 22:24:45,137898605579,摄像机4,收银台
唯品会长沙门店,30488,30,男,2018-12-23 22:24:34,137898605579,摄像机4,收银台
唯品会长沙门店,17069,32,男,2018-12-23 22:24:33,137898605579,摄像机4,收银台
唯品会长沙门店,17069,32,男,2018-12-23 22:24:29,137898601067,摄像机6,进门
唯品会长沙门店,17069,32,男,2018-12-23 22:24:24,137898601067,摄像机6,进门
唯品会长沙门店,30488,30,男,2018-12-23 22:24:23,137898601067,摄像机6,进门
唯品会长沙门店,17069,32,男,2018-12-23 22:24:20,137898685339,摄像机8,进门
唯品会长沙门店,52928,28,女,2018-12-23 22:23:41,137898605579,摄像机4,收银台
唯品会长沙门店,171514,27,女,2018-12-23 22:23:40,137898605579,摄像机4,收银台
唯品会长沙门店,70464,27,女,2018-12-23 22:22:44,137898605579,摄像机4,收银台
唯品会长沙门店,186456,29,女,2018-12-23 22:22:43,137898605579,摄像机4,收银台
唯品会长沙门店,174598,24,女,2018-12-23 22:22:42,137898605579,摄像机4,收银台
唯品会长沙门店,134493,30,女,2018-12-23 22:22:41,137898605579,摄像机4,收银台
唯品会长沙门店,171514,27,女,2018-12-23 22:22:40,137898605579,摄像机4,收银台
唯品会长沙门店,17069,32,男,2018-12-23 22:21:54,137898685339,摄像机8,进门
唯品会长沙门店,17069,32,男,2018-12-23 22:21:53,137898685339,摄像机8,进门
唯品会长沙门店,186456,29,女,2018-12-23 22:21:48,137898600875,摄像机7,进门
唯品会长沙门店,57107,27,女,2018-12-23 22:21:36,137898605579,摄像机4,收银台
唯品会长沙门店,186456,29,女,2018-12-23 22:21:29,137898600875,摄像机7,进门
唯品会长沙门店,172493,31,女,2018-12-23 22:21:20,137898601067,摄像机6,进门
唯品会长沙门店,174598,24,女,2018-12-23 22:21:10,137898601067,摄像机6,进门
唯品会长沙门店,43236,45,男,2018-12-23 22:20:00,137898605579,摄像机4,收银台
唯品会长沙门店,171514,27,女,2018-12-23 22:19:59,137898605579,摄像机4,收银台
唯品会长沙门店,171514,27,女,2018-12-23 22:18:50,137898605579,摄像机4,收银台
唯品会长沙门店,186456,29,女,2018-12-23 22:18:20,137898605579,摄像机4,收银台
唯品会长沙门店,105185,24,女,2018-12-23 22:18:13,137898600875,摄像机7,进门
唯品会长沙门店,17069,32,男,2018-12-23 22:17:58,137898605579,摄像机4,收银台
唯品会长沙门店,17069,32,男,2018-12-23 22:17:57,137898605579,摄像机4,收银台
唯品会长沙门店,17069,32,男,2018-12-23 22:17:45,137898601067,摄像机6,进门
唯品会长沙门店,24388,29,男,2018-12-23 22:12:42,137898605579,摄像机4,收银台
唯品会长沙门店,16264,33,男,2018-12-23 22:12:41,137898605579,摄像机4,收银台
唯品会长沙门店,186456,29,女,2018-12-23 22:12:11,137898601067,摄像机6,进门
唯品会长沙门店,17069,32,男,2018-12-23 22:11:10,137898601067,摄像机6,进门
唯品会长沙门店,17069,32,男,2018-12-23 22:11:09,137898601067,摄像机6,进门
唯品会长沙门店,17069,32,男,2018-12-23 22:10:59,137898601067,摄像机6,进门
唯品会长沙门店,17069,32,男,2018-12-23 22:10:59,137898601067,摄像机6,进门
唯品会长沙门店,25652,28,男,2018-12-23 22:10:39,137898685339,摄像机8,进门
唯品会长沙门店,186456,29,女,2018-12-23 22:07:51,137898605579,摄像机4,收银台
唯品会长沙门店,17069,32,男,2018-12-23 22:07:02,137898605579,摄像机4,收银台
唯品会长沙门店,17069,32,男,2018-12-23 22:06:50,137898601067,摄像机6,进门
唯品会长沙门店,43236,45,男,2018-12-23 22:03:13,137898605579,摄像机4,收银台
唯品会长沙门店,184726,26,女,2018-12-23 22:02:07,137898605579,摄像机4,收银台
唯品会长沙门店,186456,29,女,2018-12-23 22:01:46,137898608331,摄像机5,收银台
唯品会长沙门店,186456,29,女,2018-12-23 22:01:31,137898605579,摄像机4,收银台
